ID	English	French	PrettyFrench	Type	Etymology	Definition
140	blade, leaf	limbe foliaire	limbe foliaire	n.m.	lat. limbus, frange	
141	blotch	marque	marque	n.f.		
142	blunt	obtus	obtus	adj.		
143	bluntly	épointé	epointe	adj.		
144	bole	tronc	tronc	n.m.	lat. truncus	
145	bony	osseux	osseux	adj.		
146	bordered	bordé	borde	v.tr.		
147	bostryx					coiled helicoid cyme
148	brace-roots	racines-crampons	racines-crampons	n.f.		
149	bract	bractée	bractee	n.f.	lat. bractea, feuille de métal	feuille à l'aisselle de laquelle un bourgeon a différencié 1 fleur -bractée axillante-
150	bracteate	bractées, portant des	bractees, portant des	n.f.		
151	bracteate	bractées, pourvu de	bractees, pourvu de	n.f.		
152	bracteolate	bractéoles, pourvu de 	bracteoles, pourvu de	n.f.		
153	bracteole	bractéole	bracteole	n.f.	lat. bractea, feuille de métal	pte bractée axillant chacun des rayons d'1 inflorescence
154	branched	rameuse	rameuse	adj.		
155	branched	ramifié	ramifie	adj.		
156	branched, dichotomously	furcation dichotome	furcation dichotome	n.f.		
157	branching	ramification	ramification	n.f.		
158	branchlet	rameau	rameau	n.m.	lat. ramus	formation ayant une structure de tige, née d'un bourgeon porté par 1 axe principal, au niveau du noeud, et portant, des feuilles
159	branchlet	ramille	ramille	n.f.		
160	bristle	soie	soie	n.f.	lat. saeta, soie, poil	poil long, raide et brillant
161	bristled	hérissé	herisse	adj.		
162	bristled	sétacé	setace	adj.	lat. saeta, soie, poil	qui a la forme, l'aspect d'une soie de porc
163	bristly	sétacé	setace	adj.	lat. saeta, soie, poil	qui a les caractères morphologiques de la soie (de porc)
164	brittle	cassant	cassant	adj.		
165	brittle	fragile	fragile	adj.		
166	brushwood	broussaille	broussaille	n.f.		
167	bud	bourgeon	bourgeon	n.m.	lat. burrionem, bura, bourre	jeunes pièces foliaires ou florales s/axe court
168	bud	bouton	bouton	n.m.	bouter, pousser	
169	bud, adventitious	bourgeon adventif	bourgeon adventif	n.m.		
170	bud, terminal	bourgeon terminal	bourgeon terminal	n.m.		
171	buds, flower	boutons floraux	boutons floraux	n.m.pl.		
172	buds, lateral 	bourgeons latéraux	bourgeons lateraux	n.m.		
173	bulb	bulbe	bulbe	n.m.	lat. bulbus	
174	bulbil	bulbille	bulbille	n.f.	lat. bulbus	organes de propagations
175	bulging or convex	bombé	bombe	adj.		
176	bumpy	bosselé	bossele	adj.		
177	bundle	faisceau	faisceau	n.m.	lat. fascellus, botte, paquet	regroupement structuré d'élmts
178	buried	enfouie	enfouie	adj.		
179	burst	éclater	eclater	v. tr.		
180	butt	bourrelet	bourrelet	n.m.		
181	butt	patte	patte	n.f.		
182	buttress	contrefort	contrefort	n.m.	lat. contra, proximité & fortis, fort	
183	buttress, lead					lateral prominence on the shoot apex, destined to differentiate into a leaf
184	cactus-like	cactiforme	cactiforme	adj.		à rameaux épais et charnus
185	cactus-like	cactoïde	cactoide	adj.		
186	caducous	caduc, caduque	caduc, caduque	adj.	lat. caducus, cadere, tomber	
187	calcicole	calcicole	calcicole	adj.		préférence des sols calcaires
188	calcifuge	calcifuge	calcifuge	adj.	lat. calx, chaux & cole, habiter	répulsion sols calcaires
189	callus	callus	callus	n.m.		
190	calophyllous	calophylle	calophylle	adj.	gr. kalos beau & phullon, feuille	Nervation foliaire ressemblant à celle du genre Calophyllum (Clusiaceae) dans laquelle les nervures secondaires sont nombreuses, étroitement espacées et perpendiculaires à la nervure médiane. 
191	calyculus	calicule	calicule	n.m.	lat. calyculus, de calyx	involucre de pièces vertes doublant les sépales  à l'extérieur en 1 verticille alternant avec le calice
192	calyptra	calyptre	calyptre	n.f.	gr. kaluptêr, couverture	bryo.
193	calyptrate	calyptre, en forme de	calyptre, en forme de	n.f.	gr. kaluptêr, couverture	
194	calyx	calice	calice	n.m.	lat. calix	pièces les + externes du périanthe ou sépales)
195	calyx	calicinal	calicinal	adj.	lat. calix	
196	cambial layer 	cambium	cambium	n.m.	mot latin	assise génératrice; externe=cambium subéro-phellodermique, interne=libéro-ligneux
197	campanulate	campanulé	campanule	adj.	it. campanula, clochette	se dit d'une corolle gamopétale en forme de cloche
198	campylotropous	campylotrope	campylotrope	adj.	gr. kamptos, recourbé & tropos, tour	ovule courbe
199	canaliculate	canaliculé	canalicule	adj.	lat. canalis, canal	creusé d'un pt sillon mimant un canal
200	capillar	capillaire	capillaire	adj.	lat. capillus, cheveux	formation fine comme des cheveux
201	capitate	capité	capite	adj.	lat. caput, tête	terminé en tête arrondie
202	capitulate	capituliforme	capituliforme	adj.	lat. capitulum, petite tête	
203	capitulum	capitule	capitule	n.m.	lat. capitulum, petite tête	inflorescence dense, centripète, indéfinie, résultant de la juxtaposition de nombreuses fleurs supportées par le sommet du pédoncule élargi en plateau
204	capsular	capsulaire	capsulaire	adj.		
205	capsule	capsule	capsule	n.f.	lat. capsula, petite boîte	fruit sec déhiscent (plusieurs graines), 2 carpels au moins
206	carina (keel)	carène	carene	n.f.	lat. carina, coquille de noix	2 pétales inférieures soudés des corolles 
207	carpe	carpe	carpe	suffixe	gr. karpos, fruit	
208	carpel	carpelle	carpelle	n.m.	gr. karpos, fruit	a single ovule-bearing subunit of the gynoecium; most easily discerned in a flower composed of multiple carpels when each carpel remains separate (apocarpous); when carpels have fused in syncarpous flowers to form a compound ovary, the number of carpels m
209	carpophore	carpophore	carpophore	n.m.	gr. karpos, fruit & phore, porter	
210	caruncle	caroncule (=strophiole)	caroncule (=strophiole)	n.f.	lat. caruncula de caro, chair	excroissance dérivée du hile ou du funicule
211	carunculate	caronculé	caroncule	adj.	lat. caruncula de caro, chair	
212	caryopsis	caryopse	caryopse	n.m.	gr. karuon, noyau & opsis, apparence	fruit des Poacées original
213	catkin	chaton	chaton	n.m.	lat. cattus, chat	a bracteate, usually pendulous, spike-like inflorescence of small flowers with reduced or absent perianth.
214	caudate	caudé	caude	adj.	lat. cauda, queue	sommet en forme de queue
215	caudex	stipe	stipe	n.m.	lat. stipes, tige	
216	caule, cauli	caule, cauli	caule, cauli	suffixe	lat. caulis, tige	
217	cauliflorous	cauliflore	cauliflore	adj.	lat. caulis, tige & Flora, déesse des fleurs	fleurs et fruits s/tronc et branches principales
218	cauliflory	cauliflorie	cauliflorie	n.f.	lat. caulis, tige & Flora, déesse des fleurs	fleurs et fruits s/tronc et branches principales
219	cauline	caulinaire	caulinaire	adj.	lat. caulis, tige	qui appartient à la tige
220	cavity	cavité	cavite	n.f.	lat. cavitas	
221	cell	cellule	cellule	n.f.		
222	cell	loge, cellule	loge, cellule	n.f.		
223	central	central	central	adj.		
224	central nerve	médiane, nervure	mediane, nervure	adj.		
225	chalaza	chalaze	chalaze	n.f.	gr. khalaza, grêlon	niveau où  divergent elts vasculaires
226	chamber	chambre	chambre	n.f.	lat. camera, chambre	
227	chambered pith	cloisonnée, moëlle	cloisonnee, moelle	adj.		s/branches
228	channeled	cannelures, présentant des	cannelures, presentant des		it. cannelatura, cannelure	
229	chartaceous	cartacé	cartace	adj.	lat. charta, papier	opaque & paper-like, usually fairly thin, such as light does not penetrate through
230	chartaceous	chartacé	chartace	adj.		
231	chasmogamy	chasmogamie	chasmogamie	n.f.		diff. Cleistogamy
232	ciliate	cilié	cilie	adj.	lat. cilium	fringed with fine hairs
233	cincinnus					monochasium in which successive branches are borne on opposite sides of the stem
234	circinate	circiné	circine	adj.	lat. circinare, enrouler	enroulé en crosse comme chez les fougères
235	circular	circulaire	circulaire	adj.	lat. circularis	
236	circumnutation	circumnutation	circumnutation	n.f.	lat. circum, autour & nutatio, balancement de la tête	mvt lent à trajectoire hélicoïdale suivi par l'apex
237	circumscissle	circumscissile	circumscissile	adj.	lat. circum, autour & scissilis de scindere, scinder	caduc circulairement
238	cladode	cladode	cladode	n.m.	gr. klados, rameau & eidos, ressemblant	convergence de forme d'1 rameau avec 1 feuille
239	cladode	cladodiforme	cladodiforme	adj.	gr. klados, rameau & eidos, ressemblant	
240	clambering shrubs	grimpants, buissons	grimpants, buissons	adj.		
241	clamp	crampon	crampon	n.m.	frq. krampo, courbé	
242	clasping 	embrassant	embrassant	adj.	lat. brachium, bras	
243	claw	onglet	onglet	n.m.		partie basale rétrécie d'un pétale
244	clawed	onglet, en	onglet, en	n.m.		
245	clawed	onguiculé	onguicule	adj.	lat. unguiculus, petit ongle	
246	clearings, open 	défrichement	defrichement	n.m.		
247	cleistogamic	cléistogame	cleistogame	adj.	gr. kleistos, fermé & gamos, mariage	soustrait à l'autofécondation
248	cleistogamous	cléistogame	cleistogame	adj.	gr. kleistos, fermé & gamos, mariage	
249	climbing	grimpant	grimpant	adj.		
250	clinging	accolé	accole	v. tr.		
251	club-shaped	clavé	clave	adj.		en forme de massue
252	club-shaped	claviforme	claviforme	adj.	lat. clava, massue	#NAME?
253	club-shaped	massue, en forme de (claviforme)	massue, en forme de (claviforme)	n.f.		
254	cluster of fascicules	grappe de fascicules	grappe de fascicules	n.f.		
255	cluster of scorpioid cymes	grappe de cymes scorpioïdes	grappe de cymes scorpioides	n.f.		
256	clustered	faisceau, réuni en	faisceau, reuni en	n.m.		
257	coalescent	coalescent	coalescent	adj.	lat. coalescere croître avec	
258	coarsely	grossièrement	grossierement	adv.		
259	coating	revêtement	revetement	n.m.		
260	cocci (1 coccus)	cocci (1 coccus)	cocci (1 coccus)		lat. coccus, grain	bactéries sphériques
261	coenanthium	cœnanthium	coenanthium	n.m.	gr. koinos, commun & karpos, fruit	inflorescence typique des Moraceae, fleurs nombreuses insérées s/ un plateau
262	coenocarpium	cœnocarpe	coenocarpe	adj.	gr. koinos, commun & karpos, fruit	gynécée aux carpelles soudés
263	cohering	cohérent	coherent	adj.	lat. cohœrere, adhérer ensemble 	
264	coiled	enroulé	enroule	adj.		
265	collar-like	collerette, en forme de	collerette, en forme de	n.f.		
266	collateral	collatéral, ale, aux	collateral, ale, aux	adj.	lat. latus, côté	
267	colleter	colleter	colleter	n.m.	gr. kolla, colle?	
268	colleter-tipped	colleters aux extrémités	colleters aux extremites	n.m.		
269	colourless	incolore	incolore	adj.		
270	colpate					apertures are colpi
271	colpi	cellule du grain de pollen	cellule du grain de pollen	n.f.		
272	colpus	fente?	fente?	n.f.		oblong to elliptic germinal aperture in a pollen grain, at least twice as long as it is broad
273	columella	columelle	columelle	n.f.	lat. columela, colonne	colonne d'un ovaire uniloculaire, ou carpophore
274	column	colonne	colonne	n.f.		
275	columnar	columnaire	columnaire	adj.		
276	commensalism	commensalisme	commensalisme	n.m.	lat. commendare, rac. mensa, table	
277	compound	composé	compose	adj.	lat. componere, accoupler	limbe profondément divisé en folioles
278	compressed	comprimé	comprime	adj.		
279	con-, com-, col-, cor-	con-, com-, col-, cor-	con-, com-, col-, cor-	préfixe	lat. cum, com, avec	
280	concave	concave	concave	adj.	lat. cavus, creux	
281	concave	concavité	concavite	n.f.	lat. cavus, creux	
282	conceptacle	conceptacle floral	conceptacle floral	n.m.	lat. conceptaculum	
283	condensed	condensé	condense	adj.	lat. condensare, rendre épais	
284	conducting tissue	conducteur, tissu	conducteur, tissu	adj.	lat. cum, avec & ducere, mener	
285	conduplicate	condupliqué	conduplique	adj.	lat. cum, avec, plicare, plier	folded; U-shape vernation
286	cone	cône	cone	n.m.	lat. conus	inflo. Gymnospermes: strobile
287	congested	congestionnée?, encombrée?	congestionnee?, encombree?	adj.	gr. kônikos	
288	conical	conique	conique	adj.	gr. kônikos	
289	coniferoid	conifères, rappelant certains	coniferes, rappelant certains	n.m.	lat. conifer	
290	connate	conné	conne	adj.	lat. cum, avec, natus, né	opposées et soudées par leurs bases
291	connected					
292	connective (of stamens)	connectif	connectif	n.m.	lat. connectere, lier	partie sommitale du filet d'une étamine qui est soudée à l'anthère
293	connivent	connivent	connivent	adj.	lat. conniventia, connivence	s'affronte sans se souder
294	connivent	conniventé	connivente	adj.		
295	consecutive	successifs, articles	successifs, articles	adj.		
296	conspicuous 	manifestement	manifestement	adv.		
297	constricted	étranglé	etrangle	adj.		
298	constrictions	étranglements	etranglements	adj.		
299	continuum	continuum	continuum	n.m.	mot lat., le continu	
300	contorted	contorté, contourné	contorte, contourne	adj.	lat. torquere, tordre	tordu en spirale
301	contorted	contourné	contourne	adj.	it. contornare, dessiner des contours	chaque pétale mixte, recouvert par la pièce qui le précède et recouvrant la pièce qui le suit
302	contorted	tordu	tordu	adj.	lat. torquere, tordre	
303	contortion	contorsion	contorsion	n.f.	lat. torquere, tordre	
304	contracted	contracté	contracte	adj.		
305	convergence	convergence	convergence	n.f.	lat. cum, avec & vergere, s'incliner	
306	convergent	convergent	convergent	adj.		
307	convex	convexe	convexe	adj.	lat. convexus	
308	convolute	convoluté	convolute	adj.	lat. convolvere, enrouler	organe végétal enroulé sur lui même en forme de cornet ou en cigare
309	copious	ample	ample	adj.		
310	coppery	cuivré	cuivre	adj.	lat. cuprium	
311	coprymbose					
312	coral-like	coralloïde	coralloide	adj.		
313	cordate	cordé	corde	adj.	lat. cordis, cœur 	base échancrée en forme de cœur
314	coriaceous	coriace	coriace	adj.	lat. corium, cuir	
315	corky	liégeux	liegeux	adj.	lat. levius, matériau léger	
316	corm	oignon	oignon	n.m.		
317	corm? Runner?	stolon?	stolon?	n.m.		
318	corolla	corolle	corolle	n.f.	lat. corolla petite couronne	pétales d'1 fleur
319	corolla	corollin	corollin	adj.	lat. corolla petite couronne	
320	corona	couronne	couronne	n.f.	lat. corona, couronne	
321	coronule	coronule, couronne	coronule, couronne	n.f.	lat. corona, couronne	formation surnuméraire au niveau de la corolle, en forme de couronne
322	corrosive	corrosive, exsudation	corrosive, exsudation	adj.		
323	corrugated	plissé	plisse	adj.		qui présente des plis disposés un peu en zigzag
324	cortex	cortex	cortex	n.m.	lat. cortex, écorce	écorce
325	corymb	corymbe	corymbe	n.m.	gr. korumbos, qui fait saillie	inflorescence indéfinie dont fleurs sont au même niveau, à la faveur des pédoncules d'inégales longueurs …
326	corymb of capitula	corymbe de capitules	corymbe de capitules	n.m.		
327	corymbiforme	corymbiforme	corymbiforme	adj.		
328	corymbose					
329	costa					a longitudinal rib, as seen in many cacti
330	costapalmate 	costapalmé	costapalme	adj.	lat. costa, côté & palmatus	of a palmately nerved palm leaf with the petiole continuous with a broad midrib.
331	cotyledon	cotylédon	cotyledon	n.m.	gr. kotulêdon, cavité	1ère feuille ds l'embryon
332	coumpound cluster	grappe composée	grappe composee	n.f.		
333	covering	tapisser	tapisser	v. tr.		
334	covers itself round	embrasse	embrasse	v. tr.		
335	crack	fente	fente	n.f.		
336	cracked	fendu	fendu	adj.		
337	cracked	fissuré	fissure	adj.		
338	creeping	rampant	rampant	adj.		
339	creeping root	traçante, racine	tracante, racine	adj.		
340	cremocarp					type of schizocarp, derived from 2 fused carpels
341	crenate	crénelé	crenele	adj.	lat. crener, denteler	bordé de dents obtuses ou arrondies
342	crenulate	crénulé	crenule	adj.	lat. crener, denteler	
343	crevice	crevassé	crevasse	adj.		
344	crinkled	froncé	fronce	adj.		
345	cristate	cimier, en	cimier, en	n.m.	de cime	
346	cristate	crêté, orné d'1 crête	crete, orne d'1 crete	adj.	lat. crista	
347	cristate-branched	rameuse en cimier	rameuse en cimier	adj.		
348	cross-polination					
349	cross-section	section	section	n.f.		
350	crown	cime de l'arbre	cime de l'arbre	n.f.	lat. cyma	
351	crown	couronne	couronne	n.f.	lat. corona, couronne	coronule I.e. verticille interne à la corolle
352	crown	houppier	houppier	n.m.		branches + feuillage de la cime
353	crownshaft	manchon au sommet de la tige constitué par la gaine de la feuille basale	manchon au sommet de la tige constitue par la gaine de la feuille basale	n.m.		a conspicuous cylinder formed by tubular leaf sheaths at the tip of the stem
354	crown-structure	houppier	houppier	n.m.		
355	crumbles away	effrite, s'	effrite, s'	v. tr.		
356	crumpled	froissé	froisse	adj.		
357	crustaceous	crustacé	crustace	adj.	lat. crusta, carapace	rigide, ferme et + ou - épais
358	culm					jointed stem of Poaceae & Cyperaceae
359	cultigen					
360	cultivar	cultivar	cultivar	n.m.		
361	cuneate	cuné	cune	adj.		base en forme d'un coin
362	cuneate	cunéiforme	cuneiforme	adj.	lat. cuneus, coin & forma, forme	#NAME?
363	cup, receptable	coupe - coupe, en	coupe - coupe, en	n.f.	lat. cuppa	forme d'un coin
364	cup-shaped, short	cupuliforme	cupuliforme	adj.	lat. cupula, petite coupe	
365	cupular	cupulaire	cupulaire	adj.	lat. cupula, petite coupe	
366	cupulate	cucullé	cuculle	adj.	lat. cuculla, capuchon de moine	en capuchon
367	cupule	cupule	cupule	n.f.	lat. cupula, petite coupe	petite coupe
368	curled	frisé	frise	adj.		
369	curved	courbé	courbe	adj.	lat. curvare	
370	curved horseshoe-like	arqué en fer à cheval	arque en fer a cheval	adj.		
371	curved inwards	cintré en dedans	cintre en dedans	v. tr.		
372	cuspidate	cuspidé	cuspide	adj.	lat. cuspis, ibis, pointe	terminé par une cuspide
373	cut back	découpé	decoupe	adj.		
374	cut, horizontal	entaille droite	entaille droite	n.f.		
375	cuticle	cuticule	cuticule	n.f.	lat. cuticula, petite peau	dépôt protecteur de cutine
376	cutin	cutine	cutine	n.f.	lat. cutis, peau	glucide proche de la cellulose
377	cyathial	cyathiforme	cyathiforme	adj.	gr. kuathos, cyathe	
378	cyathium (pl. cyathia)	cyathium (pl. cyathia)	cyathium (pl. cyathia)	n.m.	gr. kuathos, cyathe	inflo. Particulière des Euphorbiacées
379	cylindrical	cylindrique	cylindrique	adj.		
380	cyme	cyme	cyme	n.f.	lat. cyma, cime	inflorescence définie dont l'apex est occupé par une fleur, la plus ancienne
381	cymose	cymeuse	cymeuse	adj.	lat. cyma, cime	
382	cymule	cymule	cymule	n.f.		petites cymes
383	cypsela					fruit similar to an achene …
384	dash	tiret	tiret	n.m.		
385	deciduous	décidu	decidu	adj.	lat. decidua, qui tombe	
386	deciduous foliage	caduc, feuillage	caduc, feuillage	adj.	lat. caducus, cadere, tomber	
387	decumbant	décombant	decombant	adj.		croissant + ou - horizontalement et légèrement redressé à l'extrémité
388	decumbent	radicant	radicant	adj.	lat. radix, racine	tige qui manifeste une tendance nette à se maintenir contre le sol, une écorce ou s/1 mur
389	decurrent	décurrent	decurrent	adj.	lat. decurrens, qui court le long de	soudure avec l'élément porteur se prolonge bien au-delà du point d'insertion
390	decussate	décussé	decusse	adj.	lat. decussatus, croisé	perp. Dans séries
391	definite inflorescence	définie, inflorescence	definie, inflorescence	adj.		apex occupé par 1 fleur
392	deflexed	orienté vers le bas	oriente vers le bas	adj.		bent sharply downwards
393	dehiscent	déhiscence	dehiscence	n.f.	lat. dehiscere, s'ouvrir	initialement clos qui s'ouvre à maturité
394	dehiscent	déhiscent	dehiscent	adj.	lat. dehiscere, s'ouvrir	
395	dehiscent, poricidally 	déhiscence poricide	dehiscence poricide	adj.		par des pores situés au sommet ou à la base
396	dehiscent, septicidally	déhiscence septicide	dehiscence septicide	adj.		suivant la ligne de deux carpelles adjacents
397	dehiscing by valves	déhiscent par valves	dehiscent par valves	adj.		
398	delicate	délicat	delicat	adj.		
399	delicate	fragile	fragile	adj.		
400	deltoid	deltoïde	deltoide	adj.	gr. deltoeidês, en forme de delta	
401	dentate	denté	dente	adj.	lat. dentis, dent	leaf margin toothed
402	denticulate	denticulé	denticule	adj.	lat. denticulus	
403	depressed	déprimé	deprime	adj.		à surface légèrement enfoncée
404	depression	dépression	depression	n.f		
405	di-, bi- 	di-, bi- 	di-, bi- 	préfixe	lat. bis, deux fois	
406	diadelphous	diadelphe	diadelphe	adj.	gr. di, séparé & adelphes, frère	androcée dt les étamines sont soudées en 2 faisceaux
407	diageotropism	diagéotropisme	diageotropisme	n.m.	gr. dia, à travers, gê, terre & trépo, je tourne	en réponse à la gravité
408	diagnosis	diagnose	diagnose	n.f.		
409	dialypetalous	dialypétale	dialypetale	adj.	gr. dialucin, séparer & petalon, pétale	à pétales libres
410	dialysepalous	dialysépale	dialysepale	adj.	gr. dialucin, séparer, skepé, couverture & petalon, pétale	sépales présents et libres
411	diamond pattern	diamant, à motifs en	diamant, a motifs en	n.m.		
412	diaphanous	diaphane	diaphane	adj.		très mince et translucide ou quasi transparent
413	diaphototropism	diaphototropisme	diaphototropisme	n.m.		
414	diatropism	diatropisme	diatropisme	n.m.	gr. dia, à travers, trépo, je tourne	plant part aligned at right angle to the stimulus
415	dichasial	dichasiale	dichasiale	adj.		croissance du type cyme bipare
416	dichasium	dichasium	dichasium	n.m.		inflorescence incluse dans cyme bipare
417	dichogamy	dichogamie	dichogamie	n.f.	gr. dicho, deux & gamos, mariage	reproduction d'spp. hermaphrodites mais gamètes de deux individus
418	dichotomous	dichotomique	dichotomique	adj.	gr. dikhotomis, de dikha, deux parties	plusieurs fois bifurqué en ramifications d'importance sensiblemt égale
419	dichotomously branched	dichotome, furcation	dichotome, furcation	adj.		
420	dichotomously branched	dichotomes, à ramifications	dichotomes, a ramifications			
421	dicotyledon	dicotylédone	dicotyledone	n.f.pl	gr. di, deux & kotulêdon, cavité	
422	didymous					
423	didynamous	didyname	didyname	adj.	gr. di, deux & dunamis, force	4 étamines de 2 longueurs différentes (2 longues et 2 courtes)
424	digitate	digité	digite	adj.	lat. digitus, doigt	
425	dimerous	bimère	bimere	adj.	gr. meros, partie	
426	dimorphic	dimorphe	dimorphe	adj.		
427	dimorphic	dimorphique	dimorphique	adj.	gr. di, deux & morphê, forme	
428	dimorphism	dimorphisme	dimorphisme	n.m.	gr. di, deux & morphê, forme	dualité de formes pour 1 même type d'organe
429	dioecious	dioïque	dioique	adj.	gr. di, deux, oikos, habitat	que mâle ou que femelle
430	dioecy	diécie	diecie	n.f.	gr. di, deux & oikos, habitat	propriété d'1 végétal dioïque
431	diploid	diploïde	diploide	adj.	gr. diploê, chose double & eidos, ressemblance	
432	diplonbiontic	diplobionte	diplobionte	adj.	gr. diploê, chose double & eidos, ressemblance	
433	diplostemonous	diplostémone	diplostemone	adj.	gr. diploê, chose double & lat. stamen, fil	nb d'étamines = nb de pétales dans l'androcée
434	disc	disque	disque	n.m.	gr. diskos, disque	organe charnu + ou - aplati, couvrant le sommet du réceptacle de certaines fleurs, et qui, élabore du nectar
435	disc floret					
436	disc flower	fleuron	fleuron	n.m.	lat. florem, fleur	the inner flowers of Asteraceae inflorescences with short tubular corollas lacking long, ligulate lobes.
437	disc, nectary	disque nectaire	disque nectaire	n.m.		
438	disciform	disciforme	disciforme	n.m.	gr. diskos, disque	en forme de disque
439	discoid	discoïde	discoide	adj.	gr. diskos, disque	
440	discolorous	discolore	discolore	adj.		à 2 couleurs
441	discolorous	hétérochrome	heterochrome	adj.		
442	dispersed	dispersé	disperse	adj.		
443	dissected	découpé	decoupe	adj.		
444	dissimilar	dissemblable	dissemblable	adj.		
445	dissimilarities	dissemblance	dissemblance	adj.		
446	distal	distal, ale, aux	distal, ale, aux	adj.	lat. distans, éloigné	le + éloigné
447	distichous	distique	distique	adj.	gr. stikhos, ligne	disposition des feuilles alternes disposées ds un même plan en deux séries ….
448	distinctive	caractéristique	caracteristique	adj.		
449	distylous	distyle	distyle	adj.		
450	divergent	divergent	divergent	adj.		qui s'carte ds tous les sens à partir d'un même point
451	domatia	domatie	domatie	n.f.		
452	dominant	dominant	dominant	adj.		
453	dormant	dormant	dormant	adj.		dormant (bourgeon proventif)
454	dorsal	dorsal	dorsal	adj.		in lateral organs, abaxial
455	dorsifixed	dorsifixe (=médifixe)	dorsifixe (=medifixe)	adj.	lat. dorsum, dos & fixus, fixe	étamine dont le filet est relié à l'anthère au milieu du dos
456	dots, pellucid	points pellucides	points pellucides	n.m.pl.		
457	double	double	double	n.m.		
458	double samara	disamare	disamare	n.m.	lat. di, deux & samara, graine d'orme	
459	drepanium					
460	drip-tip					
461	drooping	pendant	pendant	adj.		
462	droplet	gouttelette	gouttelette	n.f.		
463	drupaceous	drupacé	drupace	adj.	lat. drupa, olive mûre	
464	drupe	drupe	drupe	n.f.	lat. drupa, olive mûre	
465	drupelets	drupéole	drupeole	n.f.	lat. drupa, olive mûre	chacun des pts élémts d'1 fruit composé comme la mure (syncarpe)
466	dry	sec	sec	adj.		
467	duramen	duramen	duramen	n.m.	mot latin	bois le + ancien 
468	dwarfism	nanisme?	nanisme?	n.m.		
469	ear-like	oreillé	oreille	adj.		en forme d'un lobe d'oreille
470	early	précoce	precoce	adj.		
471	early	tôt	tot	adv.	lat. tostus, grillé, brûlé	
472	ecarunculate	caroncule, sans	caroncule, sans	n.f.	lat. caruncula de caro, chair	
473	echinate	échiné	echine	adj.	gr. ekhinos hérisson, oursin	ornamented with stiff, long, spines.
474	echinulate	échinulé	echinule	adj.	gr. ekhinos hérisson, oursin	
475	ecological niche	écologique, niche	ecologique, niche	n.f.		
476	ecosystem	ecosystème	ecosysteme	n.m.	gr. oikos, habitat, sustêma, ensemble des être vivants	
477	ecotone	ecotone	ecotone	n.m.		
478	ecotype	ecotype	ecotype	n.m.	gr. oikos, habitat, tupos, empreinte	
479	edaphic	édaphique	edaphique	adj.	gr. edaphos, sol	liés au sol
480	edible 	comestible	comestible	adj.		
481	egg	oosphère	oosphere	n.f.	gr. ôon, œuf, sphaira, sphère	
482	elaiosome					
483	ellipsoid	ellipsoïde	ellipsoide	adj.		
484	elliptic	elliptique	elliptique	adj.		
485	elongated ovoid					
486	emarginate	émarginé	emargine	adj.		à sommet très légèrement échancré
487	embedded	immergé	immerge	adj.		
488	embryo	embryon	embryon	n.m.	gr. embruon, fœtus	
489	endocarp	endocarpe	endocarpe	n.m.	gr. endon, dedans, karpos, fruit	partie la plus interne du péricarpe d'1 fruit
490	endodermis	endoderme	endoderme	n.m.	gr. endon, dedans, derma, peau	
491	endogenous	endogène	endogene	adj.	gr. endon, dedans, genos, origine	
492	endosperm	albumen, albuminé	albumen, albumine	n.m.	lat. albumen, blanc d'œuf	
493	endosperm (albumen)	endosperme (albumen)	endosperme (albumen)	n.m.	gr. endon, dedans, sperma, semence	
494	enrolled	enroulé	enroule	adj.		
495	entire	entier	entier	adj.	lat. integer, non touché	ni divisé, ni denté
496	entomophily	entomophilie	entomophilie	n.f.	gr. entomos, insecte & philos, amis	
497	ephemeral	éphémère	ephemere	adj.	gr. epi, pendant, hêmera, jour	
498	ephemeral	éphémérophyte	ephemerophyte	n.f.	gr. ephêmeros, éphémère, phuton, plante	plante qui boucle son cycle très vite
499	epi-	épi-	epi-	préfixe	gr. epi, sur	
500	epicalyx	épicalice	epicalice	n.m.	gr. epi, sur, lat. calyx	calyx-like extra whorld of floral appendages, positionned below the calyx
501	epicarp	épicarpe	epicarpe	n.m.	gr. epi, sur, karpos, fruit	partie la plus externe de la paroi d'1 fruit
502	epicotyl	épicotyle	epicotyle	adj.	gr. epi, sur, kotulêdon, cavité	partie de l'axe d'1 plantule qui se situe au-dessus  ..
503	epicotyl	tigelle	tigelle	n.f.	lat. tibia, flûte	
504	epicotylous?	épicotylé, axe	epicotyle, axe	adj.	gr. epi, sur, kotulêdon, cavité	
505	epidermis	épiderme	epiderme	n.m.	gr. epi, sur, derma, peau	
506	epigeal	épigé	epige	adj.	gr. epi, sur, gê, terre	type de germination 
507	epigynous	épigyne	epigyne	adj.	gr. epi, sur, gunê, femelle	disposition particulière des autres pièces florales qui paraissent s'insérer sur l'ovaire
508	epimatium	épimatium	epimatium	n.m.	mot latin	excroissance charnue des Podocarpaceae
509	epipetalous	épipétale	epipetale	adj.	gr. epi, sur, petalon, pétale	describing stamens that arise from the petals
510	epiphyte	épiphyte	epiphyte	n.m.	gr. epi, sur, phuton, plante	
511	epiphytic	épiphyte	epiphyte	adj.	gr. epi, sur, phuton, plante	
512	episepalous	épisépale	episepale	adj.	gr. epi, sur, sépale	
513	erect	dressé	dresse	adj.		
