Category,Class,Subclass,Term,Description,
Position,,f. Ovary Position,,,
Position,,f. Ovary Position,Inferior,Other floral organs attached above ovary with hypanthium adnate to ovary.,
Position,,f. Ovary Position,Half-inferior,Other floral organs attached around ovary with hypanthium adnate to lower half of ovary.,
Position,,f. Ovary Position,Superior,Other floral organs attached below ovary.,
Position,,g. Ovule Position,,(Based on position of ovule in locule and orientation of the micropyle and raphe--adapted from,
Position,,g. Ovule Position,"Epitropous, dorsal","Ovule pendulous or hanging, micropyle above, raphe dorsal (away from ventral bundle).",
Position,,g. Ovule Position,"Epitropous, ventral","Ovule pendulous or hanging, micropyle above, raphe ventral (toward ventral bundle).",
Position,,g. Ovule Position,Heterotropous,Ovule position not fixed in ovary.,
Position,,g. Ovule Position,"Hypotropous, dorsal","Ovule erect, micropyle below, raphe dorsal (away from ventral bundle).",
Position,,g. Ovule Position,"Hypotropous, ventral","Ovule erect, micropyle below, raphe ventral (toward ventral bundle).",
Position,,g. Ovule Position,"Pleurotropous, dorsal","Ovule horizontal, micropyle toward ventral bundle, raphe above.",
Position,,g. Ovule Position,"Pleurotropous, ventral","Ovule horizontal, micropyle toward ventral bundle. raphe below.",
Position,,h. Perianth and Androecium Position,,"(Classification based on insertion of Floral Parts--Corolla, Calyx, and Androecium--the androperianth)",
Position,,h. Perianth and Androecium Position,Epigyny,"The condition in which the sepals, petals, stamens are attached to the floral tube above the ovary with the ovary adnate to the tube or hypanthium.",
Position,,h. Perianth and Androecium Position,Epihyperigyny,"The condition in which the sepals, petals, stamens are attached to the floral tube or hypanthium surrounding the ovary; a combination perigyny and partly inferior ovary.",
Position,,h. Perianth and Androecium Position,Epihypogyny,"The condition in which the sepals, petals, stamens are attached about half-way from the base of the ovary to the partly adnate hypanthium tube; half-inferior insertion of parts.",
Position,,h. Perianth and Androecium Position,Epiperigyny,"The condition in which the sepals, petals, stamens are attached to the floral or hypanthium cup above the ovary with the lower part of the hypanthium completely adnate to the ovary.",
Position,,h. Perianth and Androecium Position,Hypanepigyny,"The condition in which the sepals, petals, stamens are attached to the elongate floral tube or hypanthium above the inferior ovary, as in",Oenothera.
Position,,h. Perianth and Androecium Position,Hypogyny,"The condition in which the sepals, petals, stamens are attached below the ovary.",
Position,,h. Perianth and Androecium Position,Perigyny,"The condition in which the sepals, petals, stamens are attached to the floral tube or hypanthium surrounding the ovary with the tube or hypanthium free from the ovary.",
Position,,i. Placenta Position,,(Placentation),
Position,,i. Placenta Position,Axile,With the placentae along the central axis in a compound ovary with septa.,
Position,,i. Placenta Position,Basal,With the placenta at the base of the ovary.,
Position,,i. Placenta Position,Free-central,With the placenta along the central axis in a compound ovary without septa.,
Position,,i. Placenta Position,Laminate,With the placenta over the inner surface of the ovary wall.,
Position,,i. Placenta Position,Marginal; Ventral,With the placenta along the margin of the simple ovary.,
Position,,i. Placenta Position,Parietal,With the placentae on the wall or intruding partitions of a unilocular compound ovary.,
Position,,i. Placenta Position,Pendulous; Apical; Suspended,With the placenta at the top of the ovary.,
Position,,j. Radicle Position,,,
Position,,j. Radicle Position,Antitropous,With radicle pointing away from hilum.,
Position,,j. Radicle Position,Syntropous,With radicle pointing toward hilum.,
Position,,k. Stamen Position,,,
Position,,k. Stamen Position,Allagostemonous,Having stamens attached to petal and torus alternately.,
Position,,k. Stamen Position,Antipetalous,Opposite the petals.,
Position,,k. Stamen Position,Antisepalous,Opposite the sepals.,
Position,,k. Stamen Position,Cryptantherous,With stamens included.,
Position,,k. Stamen Position,Diplostemonous,"With stamens in two whorls, outer opposite the sepals, inner opposite petals.",
Position,,k. Stamen Position,Epipetalous,With stamens attached to or inserted upon petals or corolla.,
Position,,k. Stamen Position,Episepalous,With stamens attached or inserted upon sepals or calyx.,
Position,,k. Stamen Position,Obdiplostemonous,"With stamens in two whorls, outer opposite petals, inner opposite the sepals.",
Position,,k. Stamen Position,Phanerantherous,With stamens exserted.,
Position,,l. Style Position,,,
Position,,l. Style Position,Gynobasic,At the base of an invaginated ovary.,
Position,,l. Style Position,Lateral,At the side of an ovary.,
Position,,l. Style Position,Subapical,At one side near apex of ovary.,
Position,,l. Style Position,Terminal; Apical,At the apex of the ovary.,
Arrangement,,l. Style Position,,(Classification based on location of organs or parts in relation to each other),
Arrangement,,General,,,
Arrangement,,General,Alternate,One leaf or other structure per node.,
Arrangement,,General,"Clustered, Conglomerate; Agglomerate; Crowded; Aggregate","Parts dense, usually irregularly overlapping each other.",
Arrangement,,General,Continuous,"Symmetry of arrangement even, not broken.",
Arrangement,,General,Decussate,Opposite leaves at right angle to preceding pair.,
Arrangement,,General,Distichous,"Leaves 2-ranked, in one plane.",
Arrangement,,General,Equitant,"Leaves 2-ranked with overlapping bases, usually sharply folded along midrib.",
Arrangement,,General,Fasciculate,Leaves or other structures in a cluster from a common point.,
Arrangement,,General,Geminate; Binate,Paired; in pairs.,
Arrangement,,General,Imbricate,Leaves or other structures overlapping.,
Arrangement,,General,Interrupted; Discontinuous,"Symmetry of arrangement broken, with uneven lengths of internodes.",
Arrangement,,General,Loose; Distant; Scattered,"Parts widely separated from one another, usually irregularly.",
Arrangement,,General,Opposite,"Two leaves or other structures per node, on opposite sides of stem or central axis.",
Arrangement,,General,Polystichous,Leaves or other structures in many rows.,
Arrangement,,General,Rosulate,Leaves in a rosette.,
Arrangement,,General,Secund; Unilateral,Flowers or other structures on one side of axis.,
Arrangement,,General,Tetrastichous,Leaves or other structures in four rows.,
Arrangement,,General,Tristichous,Leaves or other structures in three rows.,
Arrangement,,General,Whorled; Radiate; Verticillate,Three or more leaves or other structures per node.,
Arrangement,,Special,,(Classification based on arrangement with special terms applicable to individual plant parts),
Arrangement,,Stamen Arrangement,,(See General Arrangement for additional terms),
Arrangement,,Stamen Arrangement,Didymous,With stamens in two equal pairs.,
Arrangement,,Stamen Arrangement,Didynamous,With stamens in two unequal pairs.,
Arrangement,,Stamen Arrangement,Tetradynamous,"With stamens in two groups, usually four long and two short.",
Arrangement,,Stamen Arrangement,Tridynamous,With stamens in two equal groups of three.,
Arrangement,,Thecal Arrangement,,,(The thecae in this classification can be conjunctive or disjunctive.)
Arrangement,,Thecal Arrangement,Divergent,Thecae or anther cells divaricate or separated from one another at an acute angle to the connective or filament.,
Arrangement,,Thecal Arrangement,Oblique,Thecae or anther cells lower on one side of connective than the other.,
Arrangement,,Thecal Arrangement,Parallel,Thecae or anther cells along side of the connective or longitudinal to each other.,
Arrangement,,Thecal Arrangement,Transverse; Explanate,Thecae or anther cells with maximum divergence of about 90( from the connective or filament.,
Orientation,,,,(Classification based on arrangement of parts in relation to vertical angle of divergence from a central axis or point),
Orientation,,General,,,
Orientation,,General,Acroscopic,Facing apically.,
Orientation,,General,Agglomerate; Conglomerate; Crowded; Aggregate,Dense structures with varied angles of divergence.,
Orientation,,General,Antrorse,Bent or directed upward.,
Orientation,,General,Assurgent,Directed upward or forward.,
Orientation,,General,Basiscopic,Facing basally.,
Orientation,,General,Connivent,Convergent apically without fusion.,
Orientation,,General,Contorted,Twisted around a central axis; twisted.,
Orientation,,General,Declinate,Directed or curved downward.,
Orientation,,General,Deflexed,Bent abruptly downward.,
Orientation,,General,Dextrorse,"Rising helically from right to left, a characteristic of twining stems.",
Orientation,,General,Inflexed,Bent abruptly inward or upward.,
Orientation,,General,Patent,Spreading.,
Orientation,,General,Pendulous,Hanging loosely or freely.,
Orientation,,General,Reclinate,"Bent down upon the axis, no angle of divergence.",
Orientation,,General,Reflexed,Bent or turned downward.,
Orientation,,General,Retrorse,Bent or directed downward.,
Orientation,,General,Salient; Porrect; Projected,"Pointed outward, usually said of teeth.",
Orientation,,General,Sinistrorse,"Rising helically from left to right, a characteristic of twining stems.",
Orientation,,General,Twining,Twisted around a central axis.,
Orientation,,Special,,(Classification based on stated degrees of divergence),
Orientation,,Special,Appressed; adpressed,Pressed closely to axis upward with angle of divergence 15° or less.,
Orientation,,Special,Ascending,Directed upward with an angle of divergence of 16-45°.,
Orientation,,Special,Depressed,Pressed closely to axis downward with angle of divergence of 166-180°.,
Orientation,,Special,Descending,Directed downward with an angle of divergence of 136-165°.,
Orientation,,Special,Divergent; Patent; Divaricate,More or less horizontally spreading with angle of divergence of 15° or less up or down from the horizontal.,
Orientation,,Special,Horizontally,Spreading outward at 90° from vertical axis or plane.,
Orientation,,Special,Inclined,Ascending at 46-75° angle of divergence,
Orientation,,Special,Reclined,Descending at 106-135° angle of divergence.,
Orientation,,Special,Resupinate,"Inverted or twisted 180°, as in pedicels in the Orchidaceae.",
Transverse Posture,,Special,,(Classification based on position of ends of single structure in relation to its center or transverse axis),
Transverse Posture,,Special,Applanate; Plane,"Flat, without vertical curves or bends.",
Transverse Posture,,Special,Arcuate,"Curved like a crescent, can be downward or upward.",
Transverse Posture,,Special,Cernuous,Drooping.,
Transverse Posture,,Special,Flexuous,With a series of long or open vertical curves at right angles to the central axis.,
Transverse Posture,,Special,Geniculate,"Abruptly bent vertically, usually near the base.",
Transverse Posture,,Special,Incurved,Curved inward or upward.,
Transverse Posture,,Special,Lorate,With elongate vertical waves in the margins or sides at right angles to the longitudinal axis.,
Transverse Posture,,Special,Recurved,Curved outward or downward.,
Transverse Posture,,Special,Squarrose,"Usually sharply curved downward or outward in the apical region, as the bracts of some species of",Aster.
Transverse Posture,,Special,Undulate,With a series of vertical curves at right angles to the central axis.,
Longitudinal Posture,,Special,,(Classification based on position of the sides of a single structure in relation to its central axis),
Longitudinal Posture,,Special,Conduplicate,Longitudinally folded upward or downward along the central axis so that ventral and/or dorsal sides face each other.,
Longitudinal Posture,,Special,Geniculate,"Abruptly bent horizontally, usually in series.",
Longitudinal Posture,,Special,Induplicate,Having margins bent inward and touching margin of each adjacent structure.,
Longitudinal Posture,,Special,Involute,Margins or outer portion of sides rolled inward over upper or ventral surface.,
Longitudinal Posture,,Special,Plicate,With a series of longitudinal folds; plaited.,
Longitudinal Posture,,Special,Revolute,Margins or outer portion of sides rolled outward or downward over lower or dorsal surface.,
Longitudinal Posture,,Special,Rolled,"Sides enrolled, usually loosely, over upper or lower surfaces.",
Longitudinal Posture,,Special,Sinuate,Long horizontal curves in the body of the structure parallel to the central axis.,
Longitudinal Posture,,Special,Straight,"Without a curve, bend, or angle.",
Longitudinal Posture,,Special,Tortuous,Irregularly twisted.,
Longitudinal Posture,,Special,Valvate,"Sides enrolled, adaxially or abaxially so that margins touch.",
General Structural Position,,Special,,(Pertains to regional locations on a structure),
General Structural Position,,General,,,
General Structural Position,,General,Abaxial,Away from the axis; the lower surface of the leaf; dorsal.,
General Structural Position,,General,Adaxial,Next to the axis; facing the stem; ventral.,
General Structural Position,,General,Apical,At or near the tip.,
General Structural Position,,General,Basal,At or near the bottom.,
General Structural Position,,General,Central,In the middle or middle plane of a structure.,
General Structural Position,,General,Circumferential,At or near the circumference; surrounding a rounded structure.,
General Structural Position,,General,Distal,Away from the point of origin or attachment.,
General Structural Position,,General,Dorsal,Pertaining to the surface most distant from the axis; back of an outer face of organ; lower side of leaf; abaxial.,
General Structural Position,,General,Marginal,Pertaining to the border or edge.,
General Structural Position,,General,Medial,Upon or along the longitudinal axis.,
General Structural Position,,General,Peripheral,On the outer surface or edge.,
General Structural Position,,General,Proximal,Near the point of origin or attachment.,
General Structural Position,,General,Subbasal,Near the base.,
General Structural Position,,General,Subterminal,Near the apex.,
General Structural Position,,General,Ventral,Pertaining to the surface nearest the axis; inner face of an organ; the upper surface of the leaf; adaxial.,
General Structural Position,,Special,,(Selected terms for location on a structure. The meanings of many additional terms can be determined from the positional prefixes and word stems of plant organs and parts in Chapter 4.),
General Structural Position,,Special,Acrocaulous,At tip of stem.,
General Structural Position,,Special,Basipetiolar,At the base of the petiole.,
General Structural Position,,Special,Centroramous,At the center of the branch.,
General Structural Position,,Special,Dorsilaminar,On dorsal side of blade.,
General Structural Position,,Special,Laterospermous,On the side of the seed.,
General Structural Position,,Special,Pericarpous,Around the fruit.,
General Structural Position,,Special,Suprarhizous,On top of the root.,
General Structural Position,,Special,Ventristipular,On ventral side of stipule.,
Number,,,Ancipital,Two-edged.,
Number,,,Bicarpellate,Two-carpelled.,
Number,,,Bidentate,Two-toothed.,
Number,,,Biflorous,Two-flowered.,
Number,,,Bifoliate,Two-leaved.,
Number,,,Bilabiate,Two-lipped.,
Number,,,Bilocular,Two-locular.,
Number,,,Binate,Twinned.,
Number,,,Biseriate,Two-rowed; in two series.,
Number,,,Bisexual,"Both sexes in same flower (monoclinous, perfect).",
Number,,,Diadelphous,With two groups of stamens connate by their filaments.,
Number,,,Diandrous,With two stamens per flower.,
Number,,,Dichasium,Cymose inflorescence in which each axis produces a pair of lateral axes.,
Number,,,Dichlamydeous,"With two perianth parts, a distinct calyx and corolla.",
Number,,,Diclinous,"Having the stamens and carpels in separate flowers, imperfect, either monoecious or dioecious.",
Number,,,Dicotyledonous,With two cotyledons.,
Number,,,Dioecious,With staminate and carpellate flowers on separate plants.,
Number,,,Dipterous,Two-winged.,
Number,,,Dyad,Pollen grains occurring in clusters of two.,
Number,,,Monad,Pollen grains occurring singly.,
Number,,,Monadelphous,With one group of stamens connate by their filaments.,
Number,,,Monocarpellate,One-carpelled.,
Number,,,Monocephalous,"One-headed, as in composites.",
Number,,,Monocotyledonous,With one cotyledon.,
Number,,,Monoecious,With staminate and carpellate flowers on same plant.,
Number,,,Monophyllous,One-leaved.,
Number,,,Multicellular,Many-celled.,
Number,,,Multicipital,With many axes or stems from one rootstock or caudex.,
Number,,,Multicostal,Many-ribbed.,
Number,,,Multilocular,Many-locular.,
Number,,,Multiseriate,Many-rowed; in many series.,
Number,,,Multistriate,Many-lined.,
Number,,,Pentagonal,Five-angled.,
Number,,,Pentandrous,With five stamens.,
Number,,,Polyad,Pollen grains in clusters of more than four.,
Number,,,Polyandrous,Many-stamened.,
Number,,,Polycarpellate,Many-carpellate.,
Number,,,Polycephalous,"Many-headed, as in composites.",
Number,,,Polydelphous,With several groups of stamens connate by their filaments.,
Number,,,Tetrad,Pollen grains in clusters of four.,
Number,,,Tetragonal,Four-angled.,
Number,,,Tetrahedral,Having the form of a tetrahedron.,
Number,,,Tetralocular,Four-locular.,
Number,,,Tetrandrous,With four stamens.,
Number,,,Tricarpellate,Three-carpellate.,
Number,,,Triflorous,Three-flowered.,
Number,,,Trifoliate,Three-leaved.,
Number,,,Trifoliolate,With three leaflets.,
Number,,,Trigonous,Three-angled.,
Number,,,Triquetrous,Three-angled with the sides usually concave.,
Number,,,Unilocular,One-locular.,
Number,,,Uniseriate,One-rowed; in one series.,
Number,,,Unisexual,With only one sex in each flower.,
Size,,,,(Selected terms related to size and frequently shape),
Size,,,Ampliate,Enlarged; dilated.,
Size,,,Angustate,Narrow.,
Size,,,Anisocarpous,With unequal carpels.,
Size,,,Anisocotylous,With unequal cotyledons.,
Size,,,Anisolateral,With unequal sides.,
Size,,,Anisopetalous,With unequal petals.,
Size,,,Anisophyllous,With unequal leaves.,
Size,,,Anisostylous,With unequal styles.,
Size,,,Depauperate,Small and usually poorly developed.,
Size,,,Dilated,Widened; expanded.,
Size,,,Dwarf,Very small.,
Size,,,Gigantic,Very large.,
Size,,,Heterandrous,With stamens of different sizes and/or shapes.,
Size,,,Heteroblasty,With juvenile foliage distinctly different from adult foliage in size or shape.,
Size,,,Heterocarpous,With carpels of different sizes and/or shapes.,
Size,,,Heterocladous,With stems of different sizes and/or shapes.,
Size,,,Heteropetalous,With petals of different sizes and/or shapes.,
Size,,,Heterophyllous,With leaves of different sizes and/or shapes.,
Size,,,Heterosepalous,With sepals of different sizes and/or shapes.,
Size,,,Heterostichus,With unequal rows.,
Size,,,Homandrous,With stamens of same size and shape.,
Size,,,Homocarpous,With carpels of same size and shape.,
Size,,,Hypophyllous,"With small leaves, as bracts, scales, cataphylls.",
Size,,,Inequilateral,With unequal sides.,
Size,,,Isocotylous,With cotyledons of same size and shape.,
Size,,,Isodynamous,With equally developed structures.,
Size,,,Isopetalous,With petals of same size and shape.,
Size,,,Isophyllous,With leaves of same size and shape.,
Size,,,Isosepalous,With sepals of same size and shape.,
Size,,,Isostichous,With equal rows.,
Size,,,Latiflorous,With broad-flowers.,
Size,,,Leptophyllous,With leaves to 25 sq. mm. in size.,
Size,,,Major,Greater in size.,
Size,,,Minor,Smaller in size.,
Size,,,Minute,Very small.,
Size,,,Nanophyllous,With leaves to 225 sq. mm. in size.,
Size,,,Platycanthous,With flat and usually large spines.,
Size,,,Reduced,Decreased in size.,
Size,,,Robust,Large.,
Cycly,,,,"(Pertains to number of whorls of floral parts, leaves, or stems)",
Cycly,,,,,
Cycly,,,Acarpous,No carpels or carpellate whorl; no pistil.,
Cycly,,,Achlamydeous,Without perianth.,
Cycly,,,Apetalous,No petals or corolla.,
Cycly,,,Aphyllous,"Without leaves, no whorls of leaves.",
Cycly,,,Arhizous,"Without roots, no whorls of roots.",
Cycly,,,Asepalous,No sepals or calyx.,
Cycly,,,Astemonous; Anandrous,No stamens or androecium.,
Cycly,,,Chlamydeous,With perianth.,
Cycly,,,Complete,With four types of floral parts.,
Cycly,,,Dichlamydeous,With perianth composed of distinct calyx and corolla.,
Cycly,,,Dicyclic,Two-whorled.,
Cycly,,,Homochlamydeous,"With perianth composed of similar parts, each part a tepal.",
Cycly,,,Incomplete,One or more types of floral parts absent.,
Cycly,,,Monocyclic,One-whorled.,
Cycly,,,Oligotaxy,Reduction in number of whorls.,
Cycly,,,Pentacyclic,Five-whorled.,
Cycly,,,Pleiotaxy,Increase in number of whorls.,
Cycly,,,Polycyclic,Many-whorled.,
Cycly,,,Tetracyclic,Four-whorled.,
Cycly,,,Tricyclic,Three-whorled.,
Merosity,,,,"(Pertains to number of parts within whorls of floral parts, leaves, or stems)",
Merosity,,,Dimerous,Whorl with two members.,
Merosity,,,Heteromerous; Anisomerous,With different number of members in different whorls.,
Merosity,,,Isomerous,With same number of members in different whorls.,
Merosity,,,Monomerous,Whorl with one member.,
Merosity,,,Oligomerous,With reduction in number of members within whorl.,
Merosity,,,Pentamerous,Whorl with five members.,
Merosity,,,Pleiomerous,With increase in number of members within whorl.,
Merosity,,,Polymerous,Whorl with many members.,
Merosity,,,Pseudomonomerous,Whorl seemingly with one member which is a fusion product of two or more parts.,
Merosity,,,Tetramerous,Whorl with four members.,
Merosity,,,Trimerous,Whorl with three members.,
Fusion,,,,(Pertains to fusion of members within and betwen whorls of floral parts),
Fusion,,General,,,
Fusion,,,Adherent,"With unlike parts of organs joined, but only superficially and without actual histological continuity.",
Fusion,,,Adnate,With unlike parts or organs integrally fused to one another with histological continuity.,
Fusion,,,Coalesced,With like or unlike parts or organs incompletely separated; partially fused in a more or less irregular fashion.,
Fusion,,,Coherent,"With like parts or organs joined, but only superficially and without actual histological continuity.",
Fusion,,,Connate,With like parts or organs integrally fused to one another with histological continuity.,
Fusion,,,Contiguous,"Touching but not adnate, connate, adherent, or coherent.",
Fusion,,,Distinct,With like parts or organs unjoined and separate from one another.,
Fusion,,,Fasciated,"Unnaturally and often monstrously connate or adnate, the coalesced parts often unnaturally proliferated in size and/ or number; e.g., inflorescence of Celosia.",
Fusion,,,Free,Unlike parts or organs unjoined and separate from one another.,
Fusion,,Special,,(Selected terms pertaining to fusion),
Fusion,,,Anthocarpous,"Having a body of combined floral and fruit parts, as in multiple fruits.",
Fusion,,,Apocarpous,With separate carpels.,
Fusion,,,Apopetalous; Choripetalous,With separate petals.,
Fusion,,,Aposepalous; Chorisepalous,With separate sepals.,
Fusion,,,Apostemonous,With separate stamens.,
Fusion,,,Column; Gynostemium; Gynandrium,With fused stamens and carpels (stigma and style) as in,
Fusion,,,Conjugate,"Fused pairs, as the fruits of",
Fusion,,,Diadelphous,With two groups of stamens connate by their filaments.,
Fusion,,,Hypanthium,Fused floral parts forming an envelope around the ovary.,
Fusion,,,Monadelphous,With one group of stamens connate by their filaments.,
Fusion,,,Petalostemonous,"With filaments fused to corolla, anthers free.",
Fusion,,,Polydelphous,With several groups of stamens connate by their filaments.,
Fusion,,,Sympetalous,With fused petals.,
Fusion,,,Syncarpous,With fused carpels.,
Fusion,,,Syncotyly,"Cotyledons coalesced, forming a funnel or trumpet.",
Fusion,,,Synsepalous,With fused sepals.,
Fusion,,,Syngenesious,With fused anthers.,
Fusion,,Hypanthium Adnation,,(Based on fusion with ovary),
Fusion,,Hypanthium Adnation,Absent,No hypanthium present.,
Fusion,,Hypanthium Adnation,Adnate,Hypanthium completely fused to ovary.,
Fusion,,Hypanthium Adnation,Free,Hypanthium surrounding but completely free from the ovary.,
Fusion,,Hypanthium Adnation,Free-adnate,Hypanthium fused with ovary and having a free limb around or above ovary.,
Fusion,,Hypanthium Adnation,Partly adnate,Hypanthium adnate to part of the ovary and with no free limb or tube.,
Division,,,,,
Division,,,Bifid,Cut or divided into two lobes or parts.,
Division,,,Bifurcate,Divided into two forks or branches.,
Division,,,Cleft,Cut 1/4-1/2 of distance of middle of structure.,
Division,,,Dichotomous,Divided into two equal parts.,
Division,,,Dimidiate,Divided into unequal halves.,
Division,,,Dissected,Irregularly cut into numerous segments.,
Division,,,Divided,Cut 3/4 to almost entire distance to middle of structure.,
Division,,,Purcate,Forked.,
Division,,,Incised,"Margins sharply and deeply cut, usually jaggedly.",
Division,,,Lacerate,"Irregularly cut, appearing torn.",
Division,,,Laciniate,Cut into closely parallel ribbonlike or straplike projections.,
Division,,,Lobed,"Round-toothed, cut 1/8-1/4 of distance to middle of structure.",
Division,,,Palmatifid,Cut palmately.,
Division,,,Palmatisect,Sectioned or divided palmately into distinct segments.,
Division,,,Parted,Cut 1/2-3/4 of distance to middle of structure.,
Division,,,Pectinate,Having closely parallel toothlike projections; comblike.,
Division,,,"Pedate, Bipalmate",Palmately cleft or divided with lateral lobes cleft or divided.,
Division,,,Pinnatifid,Cut pinnately.,
Division,,,Pinnatisect,Sectioned or divided pinnately into distinct segments.,
Division,,,Quadrifid,Cut or divided into four lobes or parts.,
Division,,,Septate,Divided by internal partitions into locules or cells.,
Division,,,Serrated,Cut into sawlike teeth.,
Division,,,Trifid,Cut or divided into three lobes or parts.,
Division,,,Trifurcate,Divided into three forks or branches; three-forked.,
Configuration of Surface,,,Aciculate,"Finely marked as with pin pricks, fine lines usually randomly arranged.",
Configuration of Surface,,,Alate,Winged.,
Configuration of Surface,,,Alveolate,Honey-combed.,
Configuration of Surface,,,Areolate,Divided into many angular or squarish spaces.,
Configuration of Surface,,,Bullate,Puckered or blistered.,
Configuration of Surface,,,Canaliculate,"Longitudinally grooved, usually in relation to petioles or midribs.",
Configuration of Surface,,,Cancellate; Clathrate,Latticed.,
Configuration of Surface,,,Corrugate,Ridged.,
Configuration of Surface,,,Costate,Coarsely ribbed.,
Configuration of Surface,,,Fenestrate,With windowlike holes through the leaves or other structures.,
Configuration of Surface,,,Flexuous,Coarsely undulate with folds at right angles to long axis.,
Configuration of Surface,,,Foveolate,Pitted.,
Configuration of Surface,,,Plicate; Plaited,"Fluted, longi tudinally folded.",
Configuration of Surface,,,Punctate,Covered with minute impressions or depressions.,
Configuration of Surface,,,Pustulate,With scattered blisterlike swellings.,
Configuration of Surface,,,Reticulate,Netted.,
Configuration of Surface,,,Ribbed,With longitudinal nerves.,
Configuration of Surface,,,Ringed,With old bud scale scar rings.,
Configuration of Surface,,,Rugose,Covered with coarse reticulate lines.,
Configuration of Surface,,,Ruminate,"Coarsely wrinkled, appearing as chewed.",
Configuration of Surface,,,Scarred,"With old leaf base, stipular and/or branch scar regions.",
Configuration of Surface,,,Smooth; Plane,Without configuration.,
Configuration of Surface,,,Striate,With longitudinal lines.,
Configuration of Surface,,,Sulcate,With longitudinal grooves.,
Configuration of Surface,,,Tortuous,Having the surface variously twisted.,
Venation,,,,(Classification based on vein pattern. Based on,Hickey [1973])
Venation,,1. General,,,
Venation,,,Acrodromous,"With two or more primary or strongly developed secondary veins diverging at or above the base of the blade and running in convergent arches toward the apex over some or all of the blade length, the arches not basally curved.",
Venation,,,Actinodromous,"With three or more primary veins diverging radially from a single point at or above the base of the blade and running toward the margin, reaching it or not.",
Venation,,,Brochidodromous,"With a single primary vein, the secondary veins not terminating at the margin but joined together in a series of prominent upward arches or marginal loops on each side of the primary vein.",
Venation,,,Campylodromous,"With several primary veins or their branches diverging at or close to a single point and running in strongly developed, basally recurved arches which converge toward the apex, reaching it or not.",
Venation,,,Cladodromous,"With a single primary vein, the secondary veins not terminating at the margin and freely ramified toward it.",
Venation,,,"Craspedodromous, Mixed","With a single primary vein, some of the secondary veins terminating at the margin and an approximately equal number otherwise.",
Venation,,,"Craspedodromous, Simple","With a single primary vein, all of the secondary veins and their branches terminating at the margin.",
Venation,,,Eucamptodromous,"With a single primary vein, the secondary veins curved upward and gradually iminishing distally within the margin and interconnected by a series of cross-veins without forming conspicuous marginal loops.",
Venation,,,Hyphodromous,"With a single primary vein and all other venation absent, rudimentaryj or concealed within a coriaceous or fleshy blade.",
Venation,,,Palinactinodromous,"Actinodromous, the primary veins with one or more subsidiary radiations above the primary one.",
Venation,,,Parallelodromous,With two or more primary veins originating beside one another at the blade base and running more or less parallel to the apex where they converge.,
Venation,,,Reticulodromous,"With a single primary vein, the secondary veins not terminating at the margin and losing their identities near the margin by repeated branching, yielding a dense reticulum.",
Venation,,,Semicraspedodromous,"With a single primary vein, the secondary veins branching just within the margin, one branch from each terminating at the margin and the other forming a marginal loop and joining the superadjacent secondary vein.",
Venation,,,ate,Covered with minute impressions or depressions.,
Venation,,,Pustulate,With scattered blisterlike swellings.,
Venation,,,Reticulate,Netted.,
Venation,,,Ribbed,With longitudinal nerves.,
Venation,,,Ringed,With old bud scale scar rings.,
Venation,,,Rugose,Covered with coarse reticulate lines.,
Venation,,,Ruminate,"Coarsely wrinkled, appearing as chewed.",
Venation,,,Scarred,"With old leaf base, stipular and/or branch scar regions.",
Venation,,,Smooth; Plane,Without configuration.,
Venation,,,Striate,With longitudinal lines.,
Venation,,,Sulcate,With longitudinal grooves.,
Venation,,,Tortuous,Having the surface variously twisted.,
Venation,,2. Special,,,
Venation,,,,(Traditional classification),
Venation,,,Dichotomous,With veins branching or forking in pairs equally.,
Venation,,,Netted; Reticulate,With veins forming a network.,
Venation,,,Pinnately Netted,With secondary veins arising from midrib or midvein,
Venation,,,Palmately; Digitately Netted,With three or more primary veins arising from a common point.,
Venation,,,Parallel,"With veins extending from base to apex, essentially parallel.",
Venation,,,Penni-parallel,"With veins extending from midrib to margins, essentially parallel.",
Surface,,,,"(Classification based on features derived from epidermal outgrowths or excrescences, exclusive of trichomes)",
Surface,,,Asperous,Having a rough surface.,
Surface,,,Bristly,Beset with bristles.,
Surface,,,Echinate,Covered with spines.,
Surface,,,Farinaceous,Mealy.,
Surface,,,Glabrate; Glabrescent,Becoming glabrous.,
Surface,,,Glabrous,Smooth; devoid of trichomes.,
Surface,,,Glandular,"Covered with minute, blackish to translucent glands.",
Surface,,,Glaucescent,Sparingly or slightly glaucous.,
Surface,,,Glaucous,"Covered with a bloom or smooth, waxy coating.",
Surface,,,Glutinous,"Having a shiny, sticky surface.",
Surface,,,Granular,"Finely mealy, covered with small granules.",
Surface,,,Greasy; Unctuous,"Slick, oily, slippery to touch.",
Surface,,,Mucilaginous,Gummy or gelatinous.,
Surface,,,Muricate,"Covered with short, hard protuberances.",
Surface,,,Muriculate,Minutely muricate.,
Surface,,,Opaque,With a dull surface.,
Surface,,,Prickly,With prickles.,
Surface,,,Pruinose; Frosted; Sebiferous,With a heavy wax coat.,
Surface,,,Pubescent,Covered with dense or scattered trichomes.,
Surface,,,Pulverulent,"Covered with fine, powdery wax granules.",
Surface,,,Ramentaceous,"Having many thin scales, as on the epidermis of some ferns.",
Surface,,,Resinous,"Having a yellowish, sticky, exudate.",
