signature	po_id	po_label	pato_id	pato_label	label	definition	parent	pair_status	pair_source	assertions	accepted_assertions	taxa	pages	example_1	example_2	decision	reason
EQ|PO_0025073|PATO_0002445	PO_0025073	branch	PATO_0002445	torsioned	branch torsioned	A flora phenotype in which a(n) branch exhibits the quality torsioned.	FLOPO_0000100	allowed	curator_review_2026-09-18	2	2	2	38|132	Maerua crassifolia Forssk. (p38): twisted branches	Searsia tripartita (Ucria) Moffett (p132): The branches are twisted	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0025083|PATO_0001891	PO_0025083	strobilus	PATO_0001891	ovate	strobilus ovate	A flora phenotype in which a(n) strobilus exhibits the quality ovate.	FLOPO_0005201	allowed	curator_review_2026-09-18	2	2	1	182|284	Ephedra ciliata Fisch. & C.A.Mey. (p182): the small cones ovoid	Ephedra ciliata Fisch. & C.A.Mey. (p284): small cones ovate	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0025172|PATO_0000323	PO_0025172	thorn	PATO_0000323	white	thorn white	A flora phenotype in which a(n) thorn exhibits the quality white.	FLOPO_0001761	allowed	curator_review_2026-09-18	2	2	2	59|66	Vachellia flava (Forssk.) Kyal. & Boatwr. (p59): white	Vachellia tortilis subsp. raddiana (Savi) Kyal. & Boatwr. (p66): and white	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0025172|PATO_0001419	PO_0025172	thorn	PATO_0001419	sharp	thorn sharp	A flora phenotype in which a(n) thorn exhibits the quality sharp.	FLOPO_0001761	allowed	curator_review_2026-09-18	2	2	2	32|62	Commiphora myrrha (Nees) Engl. (p32): branches end in a sharp spine	Vachellia nilotica subsp. indica (Benth.) Kyal. & Boatwr. (p62): sharp	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0025172|PATO_0002212	PO_0025172	thorn	PATO_0002212	slender	thorn slender	A flora phenotype in which a(n) thorn exhibits the quality slender.	FLOPO_0001761	allowed	curator_review_2026-09-18	2	2	2	59|240	Vachellia flava (Forssk.) Kyal. & Boatwr. (p59): rather slender	Oncoba spinosa Forssk. (p240): slender axillary spines	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0025174|PATO_0001365	PO_0025174	spine stipule	PATO_0001365	spiny	spine stipule spiny	A flora phenotype in which a(n) spine stipule exhibits the quality spiny.	PHENO|PO_0025174	allowed	curator_review_2026-09-18	2	2	2	58|60	Vachellia etbaica (Schweinf.) Kyal. & Boatwr. (p58): spiny stipules	Vachellia gerrardii var. najdensis (Chaudhary) Ragup., Seigler, Ebinger & Maslin (p60): stipular spines	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0025174|PATO_0002310	PO_0025174	spine stipule	PATO_0002310	robust	spine stipule robust	A flora phenotype in which a(n) spine stipule exhibits the quality robust.	PHENO|PO_0025174	allowed	curator_review_2026-09-18	2	2	2	51|63	Faidherbia albida (Delile) A.Chev. (p51): strong	Vachellia origena (Hunde) Kyal. & Boatwr. (p63): strong, medium-sized spines	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030091|PATO_0000122	PO_0030091	capsule fruit	PATO_0000122	length	capsule fruit length	A flora phenotype in which a(n) capsule fruit exhibits the quality length.	PHENO|PO_0030091	allowed	curator_review_2026-09-18	2	2	2	199|206	Hypericum revolutum Vahl (p199): capsule 12 × 10 mm	Woodfordia fruticosa (L.) Kurz (p206): 6–10 mm long	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030091|PATO_0001875	PO_0030091	capsule fruit	PATO_0001875	triangular	capsule fruit triangular	A flora phenotype in which a(n) capsule fruit exhibits the quality triangular.	PHENO|PO_0030091	allowed	curator_review_2026-09-18	2	2	2	286|288	Euphorbia fractiflexa S.Carter & J.R.I.Wood (p286): three-angled	Euphorbia parciramulosa Schweinf. (p288): with 3 angles	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030098|PATO_0000467	PO_0030098	schizocarp fruit	PATO_0000467	present	schizocarp fruit present	A flora phenotype in which a(n) schizocarp fruit exhibits the quality present.	PHENO|PO_0030098	allowed	curator_review_2026-09-18	2	2	2	214|215	Pavonia burchellii (DC.) R.A.Dyer (p214): the fruit is a schizocarp	Pavonia triloba Guill. & Perr. (p215): fruit schizocarpic	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030100|PATO_0000453	PO_0030100	legume fruit	PATO_0000453	glabrous	legume fruit glabrous	A flora phenotype in which a(n) legume fruit exhibits the quality glabrous.	PHENO|PO_0030100	allowed	curator_review_2026-09-18	2	2	2	59|299	Vachellia flava (Forssk.) Kyal. & Boatwr. (p59): glabrous	Rhynchosia minima (L.) DC. (p299): glabrous pods	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030100|PATO_0000454	PO_0030100	legume fruit	PATO_0000454	hairy	legume fruit hairy	A flora phenotype in which a(n) legume fruit exhibits the quality hairy.	PHENO|PO_0030100	allowed	curator_review_2026-09-18	2	2	2	58|61	Vachellia etbaica (Schweinf.) Kyal. & Boatwr. (p58): densely hairy	Vachellia johnwoodii (Boulos) Ragup., Seigler, Ebinger & Maslin (p61): hairy up to the base	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030100|PATO_0001245	PO_0030100	legume fruit	PATO_0001245	dark brown	legume fruit dark brown	A flora phenotype in which a(n) legume fruit exhibits the quality dark brown.	PHENO|PO_0030100	allowed	curator_review_2026-09-18	2	2	2	56|191	Senegalia mellifera (Benth.) Seigler & Ebinger (p56): pods dark brown	Senna italica Mill. (p191): with a dark brown central area	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030100|PATO_0002215	PO_0030100	legume fruit	PATO_0002215	falciform	legume fruit falciform	A flora phenotype in which a(n) legume fruit exhibits the quality falciform.	PHENO|PO_0030100	allowed	curator_review_2026-09-18	2	2	2	53|59	Prosopis koelziana Burkart (p53): falcate in shape	Vachellia flava (Forssk.) Kyal. & Boatwr. (p59): falcate	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030100|PATO_0002226	PO_0030100	legume fruit	PATO_0002226	subcylindrical	legume fruit subcylindrical	A flora phenotype in which a(n) legume fruit exhibits the quality subcylindrical.	PHENO|PO_0030100	allowed	curator_review_2026-09-18	2	1	2	52|57	Prosopis cineraria (L.) Druce (p52): subcylindrical	Tamarindus indica L. (p57): subcylindrical in shape	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030100|PATO_0002312	PO_0030100	legume fruit	PATO_0002312	segmented	legume fruit segmented	A flora phenotype in which a(n) legume fruit exhibits the quality segmented.	PHENO|PO_0030100	allowed	curator_review_2026-09-18	2	2	2	196|197	Taverniera lappacea (Forssk.) DC. (p196): usually with 1–2 segments	Taverniera spartea DC. (p197): pods with 1–2 segments	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030100|PATO_0002445	PO_0030100	legume fruit	PATO_0002445	torsioned	legume fruit torsioned	A flora phenotype in which a(n) legume fruit exhibits the quality torsioned.	PHENO|PO_0030100	allowed	curator_review_2026-09-18	2	2	2	67|193	Vachellia tortilis subsp. tortilis (p67): pods usually twisted	Sophora gibbosa (DC.) Yakovlev (p193): twisted pods	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030102|PATO_0000946	PO_0030102	nut fruit	PATO_0000946	oblong	nut fruit oblong	A flora phenotype in which a(n) nut fruit exhibits the quality oblong.	FLOPO_0980908	allowed	curator_review_2026-09-18	2	2	2	200|201	Lavandula atriplicifolia Benth. (p200): oblong	Lavandula dentata L. (p201): oblong	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030102|PATO_0000952	PO_0030102	nut fruit	PATO_0000952	brown	nut fruit brown	A flora phenotype in which a(n) nut fruit exhibits the quality brown.	FLOPO_0980908	allowed	curator_review_2026-09-18	2	2	2	201|283	Lavandula dentata L. (p201): brown	Cyperus alternifolius L. (p283): brown tending to copper-coloured	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030103|PATO_0000322	PO_0030103	drupe fruit	PATO_0000322	red	drupe fruit red	A flora phenotype in which a(n) drupe fruit exhibits the quality red.	PHENO|PO_0030103	allowed	curator_review_2026-09-18	2	2	2	88|315	Ziziphus mucronata Willd. (p88): tending to red	Osyris lanceolata Hochst. & Steud. (p315): shiny red	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030103|PATO_0001499	PO_0030103	drupe fruit	PATO_0001499	spherical	drupe fruit spherical	A flora phenotype in which a(n) drupe fruit exhibits the quality spherical.	PHENO|PO_0030103	allowed	curator_review_2026-09-18	2	2	2	204|315	Premna resinosa (Hochst.) Schauer (p204): spherical	Osyris lanceolata Hochst. & Steud. (p315): spherical in shape	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030103|PATO_0001979	PO_0030103	drupe fruit	PATO_0001979	lobed	drupe fruit lobed	A flora phenotype in which a(n) drupe fruit exhibits the quality lobed.	PHENO|PO_0030103	allowed	curator_review_2026-09-18	2	2	2	208|210	Grewia erythraea Schweinf. (p208): 2–4-lobed	Grewia tenax (Forssk.) Fiori (p210): 2–4-lobed	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030108|PATO_0000921	PO_0030108	berry fruit	PATO_0000921	width	berry fruit width	A flora phenotype in which a(n) berry fruit exhibits the quality width.	PHENO|PO_0030108	allowed	curator_review_2026-09-18	2	2	2	85|316	Maesa lanceolata Forssk. (p85): 5 mm wide	Cissus quadrangularis L. (p316): 6 mm wide	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030108|PATO_0001499	PO_0030108	berry fruit	PATO_0001499	spherical	berry fruit spherical	A flora phenotype in which a(n) berry fruit exhibits the quality spherical.	PHENO|PO_0030108	allowed	curator_review_2026-09-18	2	2	2	85|317	Maesa lanceolata Forssk. (p85): globose	Rhoicissus revoilii Planch. (p317): spherical in shape	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030108|PATO_0001891	PO_0030108	berry fruit	PATO_0001891	ovate	berry fruit ovate	A flora phenotype in which a(n) berry fruit exhibits the quality ovate.	PHENO|PO_0030108	allowed	curator_review_2026-09-18	2	2	2	308|316	Jasminum grandiflorum L. (p308): ovoid and rounded	Cissus quadrangularis L. (p316): ovoid in shape	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030121|PATO_0002388	PO_0030121	capitulum inflorescence	PATO_0002388	pedunculate	capitulum inflorescence pedunculate	A flora phenotype in which a(n) capitulum inflorescence exhibits the quality pedunculate.	FLOPO_0980970	allowed	curator_review_2026-09-18	2	2	2	61|156	Vachellia johnwoodii (Boulos) Ragup., Seigler, Ebinger & Maslin (p61): on a peduncle	Baccharoides schimperi (DC.) Isawumi, El-Ghazaly & B.Nord. (p156): pedunculate	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030121|PATO_0104031	PO_0030121	capitulum inflorescence	PATO_0104031	cream	capitulum inflorescence cream	A flora phenotype in which a(n) capitulum inflorescence exhibits the quality cream.	FLOPO_0980970	allowed	curator_review_2026-09-18	2	2	2	60|63	Vachellia gerrardii var. najdensis (Chaudhary) Ragup., Seigler, Ebinger & Maslin (p60): creamy white	Vachellia origena (Hunde) Kyal. & Boatwr. (p63): creamy white	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000003|PATO_0001249	PO_0000003	whole plant	PATO_0001249	dark green	whole plant dark green	A flora phenotype in which a(n) whole plant exhibits the quality dark green.	FLOPO_0000089	allowed	curator_review_2026-09-18	1	1	1	48	Euphorbia ammak Schweinf. (p48): dark green in colour		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000003|PATO_0001734	PO_0000003	whole plant	PATO_0001734	semi-deciduous(plant)	whole plant semi-deciduous(plant)	A flora phenotype in which a(n) whole plant exhibits the quality semi-deciduous(plant).	FLOPO_0000089	allowed	curator_review_2026-09-18	1	0	1	83	Flueggea virosa (Roxb. ex Willd.) Royle (p83): semi-deciduous		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000003|PATO_0104114	PO_0000003	whole plant	PATO_0104114	yellowish green	whole plant yellowish green	A flora phenotype in which a(n) whole plant exhibits the quality yellowish green.	FLOPO_0000089	allowed	curator_review_2026-09-18	1	1	1	170	Capparis decidua (Forssk.) Edgew. (p170): yellowish green in colour		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000013|PATO_0000454	PO_0000013	cauline leaf	PATO_0000454	hairy	cauline leaf hairy	A flora phenotype in which a(n) cauline leaf exhibits the quality hairy.	FLOPO_0012852	allowed	curator_review_2026-09-18	1	1	1	133	Deverra tortuosa (Desf.) DC. (p133): the upper cauline leaves are covered with hairs		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000013|PATO_0002359	PO_0000013	cauline leaf	PATO_0002359	broad	cauline leaf broad	A flora phenotype in which a(n) cauline leaf exhibits the quality broad.	FLOPO_0012852	allowed	curator_review_2026-09-18	1	1	1	133	Deverra tortuosa (Desf.) DC. (p133): the lower cauline leaves are broad		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000044|PATO_0000467	PO_0000044	prop root	PATO_0000467	present	prop root present	A flora phenotype in which a(n) prop root exhibits the quality present.	PHENO|PO_0000044	allowed	curator_review_2026-09-18	1	1	1	82	Pandanus tectorius Parkinson (p82): it has supporting roots		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000048|PATO_0000410	PO_0000048	leaf lamina vascular system	PATO_0000410	pinnate	leaf lamina vascular system pinnate	A flora phenotype in which a(n) leaf lamina vascular system exhibits the quality pinnate.	PHENO|PO_0000048	allowed	curator_review_2026-09-18	1	1	1	36	Trema orientale (L.) Blume (p36): pinnately veined		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000048|PATO_0001482	PO_0000048	leaf lamina vascular system	PATO_0001482	prominent	leaf lamina vascular system prominent	A flora phenotype in which a(n) leaf lamina vascular system exhibits the quality prominent.	PHENO|PO_0000048	allowed	curator_review_2026-09-18	1	1	1	23	Tarchonanthus camphoratus L. (p23): prominent venation on the lower side		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000049|PATO_0001252	PO_0000049	leaf lamina abaxial epidermis	PATO_0001252	light grey	leaf lamina abaxial epidermis light grey	A flora phenotype in which a(n) leaf lamina abaxial epidermis exhibits the quality light grey.	PHENO|PO_0000049	allowed	curator_review_2026-09-18	1	1	1	23	Tarchonanthus camphoratus L. (p23): pale grey below		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000049|PATO_0001408	PO_0000049	leaf lamina abaxial epidermis	PATO_0001408	ciliated	leaf lamina abaxial epidermis ciliated	A flora phenotype in which a(n) leaf lamina abaxial epidermis exhibits the quality ciliated.	PHENO|PO_0000049	allowed	curator_review_2026-09-18	1	0	1	15	Avicennia marina (p15): with small hair-like cilia on the lower side		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000050|PATO_0000320	PO_0000050	leaf lamina adaxial epidermis	PATO_0000320	green	leaf lamina adaxial epidermis green	A flora phenotype in which a(n) leaf lamina adaxial epidermis exhibits the quality green.	PHENO|PO_0000050	allowed	curator_review_2026-09-18	1	1	1	15	Avicennia marina (p15): bright green on the upper side		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000050|PATO_0001373	PO_0000050	leaf lamina adaxial epidermis	PATO_0001373	glistening	leaf lamina adaxial epidermis glistening	A flora phenotype in which a(n) leaf lamina adaxial epidermis exhibits the quality glistening.	PHENO|PO_0000050	allowed	curator_review_2026-09-18	1	1	1	15	Avicennia marina (p15): glossy ... on the upper side		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000050|PATO_0104007	PO_0000050	leaf lamina adaxial epidermis	PATO_0104007	greyish green	leaf lamina adaxial epidermis greyish green	A flora phenotype in which a(n) leaf lamina adaxial epidermis exhibits the quality greyish green.	PHENO|PO_0000050	allowed	curator_review_2026-09-18	1	1	1	23	Tarchonanthus camphoratus L. (p23): grey-green above		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000282|PATO_0001164	PO_0000282	trichome	PATO_0001164	dense	trichome dense	A flora phenotype in which a(n) trichome exhibits the quality dense.	FLOPO_0000355	allowed	curator_review_2026-09-18	1	1	1	290	Indigofera amorphoides Jaub. & Spach (p290): the stem has dense sharp hairs		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000282|PATO_0001419	PO_0000282	trichome	PATO_0001419	sharp	trichome sharp	A flora phenotype in which a(n) trichome exhibits the quality sharp.	FLOPO_0000355	allowed	curator_review_2026-09-18	1	1	1	290	Indigofera amorphoides Jaub. & Spach (p290): the stem has dense sharp hairs		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0004509|PATO_0000323	PO_0004509	glandular trichome	PATO_0000323	white	glandular trichome white	A flora phenotype in which a(n) glandular trichome exhibits the quality white.	PHENO|PO_0004509	allowed	curator_review_2026-09-18	1	1	1	78	Myrica salicifolia Hochst. ex A.Rich. (p78): white glandular hairs		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0004509|PATO_0000467	PO_0004509	glandular trichome	PATO_0000467	present	glandular trichome present	A flora phenotype in which a(n) glandular trichome exhibits the quality present.	PHENO|PO_0004509	allowed	curator_review_2026-09-18	1	1	1	28	Ehretia obtusifolia Hochst. ex A.DC. (p28): with glandular hairs		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0004509|PATO_0002117	PO_0004509	glandular trichome	PATO_0002117	glandular	glandular trichome glandular	A flora phenotype in which a(n) glandular trichome exhibits the quality glandular.	PHENO|PO_0004509	allowed	curator_review_2026-09-18	1	1	1	293	Indigofera colutea (Burm.f.) Merr. (p293): with glandular hairs		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0004511|PATO_0000324	PO_0004511	seed trichome	PATO_0000324	yellow	seed trichome yellow	A flora phenotype in which a(n) seed trichome exhibits the quality yellow.	FLOPO_0000771	allowed	curator_review_2026-09-18	1	1	1	156	Baccharoides schimperi (DC.) Isawumi, El-Ghazaly & B.Nord. (p156): seeds surrounded by yellow hairs		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0004518|PATO_0104010	PO_0004518	bark	PATO_0104010	papyraceous	bark papyraceous	A flora phenotype in which a(n) bark exhibits the quality papyraceous.	FLOPO_0000010	allowed	curator_review_2026-09-18	1	1	1	54	Senegalia asak (Forssk.) Kyal. & Boatwr. (p54): papery		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0004545|PATO_0000622	PO_0004545	shoot-borne shoot system	PATO_0000622	erect	shoot-borne shoot system erect	A flora phenotype in which a(n) shoot-borne shoot system exhibits the quality erect.	PHENO|PO_0004545	allowed	curator_review_2026-09-18	1	1	1	302	Geranium trilophum Boiss. (p302): branches erect		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0004545|PATO_0002348	PO_0004545	shoot-borne shoot system	PATO_0002348	ligneous	shoot-borne shoot system ligneous	A flora phenotype in which a(n) shoot-borne shoot system exhibits the quality ligneous.	PHENO|PO_0004545	allowed	curator_review_2026-09-18	1	0	1	309	Adenia venenata Forssk. (p309): woody branches		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0005031|PATO_0000122	PO_0005031	microsporangiate strobilus	PATO_0000122	length	microsporangiate strobilus length	A flora phenotype in which a(n) microsporangiate strobilus exhibits the quality length.	PHENO|PO_0005031	allowed	curator_review_2026-09-18	1	1	1	44	Juniperus procera Hochst. ex Endl. (p44): length of the male cones 3-5 mm		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0005032|PATO_0001334	PO_0005032	megasporangiate strobilus	PATO_0001334	diameter	megasporangiate strobilus diameter	A flora phenotype in which a(n) megasporangiate strobilus exhibits the quality diameter.	PHENO|PO_0005032	allowed	curator_review_2026-09-18	1	1	1	44	Juniperus procera Hochst. ex Endl. (p44): 4-8 mm in diameter		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0005032|PATO_0001629	PO_0005032	megasporangiate strobilus	PATO_0001629	aggregated	megasporangiate strobilus aggregated	A flora phenotype in which a(n) megasporangiate strobilus exhibits the quality aggregated.	PHENO|PO_0005032	allowed	curator_review_2026-09-18	1	1	1	183	Ephedra foeminea Forssk. (p183): female cones axillary, clustered		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0005032|PATO_0002351	PO_0005032	megasporangiate strobilus	PATO_0002351	fleshy	megasporangiate strobilus fleshy	A flora phenotype in which a(n) megasporangiate strobilus exhibits the quality fleshy.	PHENO|PO_0005032	allowed	curator_review_2026-09-18	1	1	1	43	Juniperus phoenicea L. (p43): fruits fleshy		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0005032|PATO_0002476	PO_0005032	megasporangiate strobilus	PATO_0002476	terminal	megasporangiate strobilus terminal	A flora phenotype in which a(n) megasporangiate strobilus exhibits the quality terminal.	PHENO|PO_0005032	allowed	curator_review_2026-09-18	1	1	1	284	Ephedra ciliata Fisch. & C.A.Mey. (p284): at the tips of young branches		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0006018|PATO_0000454	PO_0006018	leaf adaxial epidermis	PATO_0000454	hairy	leaf adaxial epidermis hairy	A flora phenotype in which a(n) leaf adaxial epidermis exhibits the quality hairy.	PHENO|PO_0006018	allowed	curator_review_2026-09-18	1	1	1	92	Prunus arabica (Olivier) Meikle (p92): with light hairs		accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
